Restaurant_ID,Name,City,State,Country,Zip_Code,Latitude,Longitude,Alcohol_Service,Smoking_Allowed,Price,Franchise,Area,Parking
132560,Puesto de Gorditas,Ciudad Victoria,Tamaulipas,Mexico,78000.0,23.7523041,-99.1669133,Wine & Beer,Yes,Low,No,Open,Public
132561,Cafe Ambar,Ciudad Victoria,Tamaulipas,Mexico,78000.0,23.726819,-99.1265059,Wine & Beer,No,Low,No,Closed,Yes
132564,Church's,Ciudad Victoria,Tamaulipas,Mexico,78000.0,23.7309245,-99.1451848,Wine & Beer,No,Low,No,Closed,Yes
132572,Cafe Chaires,San Luis Potosi,San Luis Potosi,Mexico,78000.0,22.1416471,-100.9927118,Wine & Beer,No,Low,No,Closed,Yes
132583,McDonalds Centro,Cuernavaca,Morelos,Mexico,62000.0,18.9222904,-99.234332,Wine & Beer,No,Low,Yes,Closed,Yes
132584,Gorditas Doña Tota,Ciudad Victoria,Tamaulipas,Mexico,78000.0,23.7523648,-99.1652879,Wine & Beer,No,Medium,Yes,Closed,Yes
132594,Tacos De Barbacoa Enfrente Del Tec,Ciudad Victoria,Tamaulipas,Mexico,78000.0,23.7521677,-99.165709,Wine & Beer,No,Low,No,Open,Public
132608,Hamburguesas La Perica,Ciudad Victoria,Tamaulipas,Mexico,78000.0,23.7588052,-99.1651297,Wine & Beer,Yes,Low,Yes,Open,Public
132609,Pollo Frito Buenos Aires,Ciudad Victoria,Tamaulipas,Mexico,78000.0,23.7602683,-99.1658646,Wine & Beer,No,Low,Yes,Closed,Yes
132613,Carnitas Mata,Ciudad Victoria,Tamaulipas,Mexico,78000.0,23.7529035,-99.165076,Wine & Beer,Yes,Medium,Yes,Closed,Yes
132626,La Perica Hamburguesa,Ciudad Victoria,Tamaulipas,Mexico,78000.0,23.7375834,-99.1351318,Wine & Beer,No,Medium,Yes,Closed,Yes
132630,Palomo Tec,Ciudad Victoria,Tamaulipas,Mexico,78000.0,23.7529305,-99.1644725,Wine & Beer,No,Low,No,Closed,Yes
